ID,"Tweet ID","User ID",Username,text,"Created At"
1,1896611050881204614,1741330816255553536,DennDarull,"Apapun kondisinya jangan sampai orang rumah tahu #motivasi #story https://t.co/qxqYHieUuL","2025-03-03 20:28:46"
2,1896547072595378447,1710039859614932992,mg2bet_mg2,"Kalo cuma ganteng doang - Maia Estianty #motivasi #motivasisukses #motivasihidup #motivasell #maiaestianty #viral #fypdongggggggg #id #dennysumargo #densu #manggadua #mangga2 #kutipan #katakata #foryoupage #fyppppppppppppppppppppppp https://t.co/PL9LTtw5vW","2025-03-03 20:28:46"
3,1896545343606858090,1710039859614932992,mg2bet_mg2,"Setiap pernikahan ada rejekinya #motivasi #motivasihidup #motivasisukses #motivasell #dennysumargo #kemalpahlevi #densu #dennysumargo #manggadua #mangga2 #kutipan #katakata https://t.co/sCDFqc4NhP","2025-03-03 20:28:46"
4,1896515910627963044,127796691,warungsatekamu,"Tuhan Yesus berilah kesempatan kepadaku untuk menunjukkan kasih kepada orang-orang yang Engkau hadirkan sebagai sesamaku. Kontribusi oleh Vika Rahelia. #WarungSaTeKaMu #dailyquote #christianart #handlettering #rohanikristen #saatteduh #santapanrohani #renungankristen #motivasi https://t.co/9RnuaLUXhb","2025-03-03 20:28:46"
5,1896510158634910185,1587643235614486528,BPS_Situbondo,"menyalahkan keadaan sibuk mencari penyelesaian. Hidup tidak menjadi lebih baik karena kebetulan melainkan karena adanya perubahan. #zonaintegritas #afirmasi #inspirasi #motivasi #asap #BPSSitubondo","2025-03-03 20:28:46"
6,1896504254556479666,2991081272,mr_z4m,"Konsistensi itu kunci kejayaan! Dalam bulan Ramadhan ini tunjukkan komitmen kita setiap hari. Setiap langkah kecil mendekatkan kita kepada kebaikan Dan Kejayaan dalam perniagaan. Jom buktikan! #Ramadhan #Motivasi #peszamzum #zamzumglobal #sambalpenyetnanaszamzum https://t.co/SLsojZ1a7z","2025-03-03 20:28:46"
7,1896490310458609894,943421476480225280,DadungAwuk82,"BELAS KASIHMU ADALAH RACUN YANG PERLAHAN MEMBUNUHMU #katabijak #afirmasi #motivasi #cinta #kasihsayang #hidup #hidupbebasdrama #videoviral #quotes #katakata #fy https://t.co/ija74P3NMg","2025-03-03 20:28:46"
8,1896484660810756252,1879756228387368960,pengusahasp,"Tugas Manusia Hanya Sebatas berjuang #indonesiabertani #pengusahasetengahpelawak #pupukmahkota #petani #tani #dolomit #motivasi #sawit #sawitriau https://t.co/07KYoh1wIM","2025-03-03 20:28:46"
9,1896450815570973150,1762667610439876608,bpstasik,"Sampurasun Sobat Data. Sudah senin kembali ya bedanya senin kali ini kita sudah di bulan Ramadan ya.. Semangat ya puasanya untuk semua Sobat Data.. Semoga lancar dan sehat selalu.. #cintadata #bpsjabar #tasikmalaya #motivasi #quotes https://t.co/1Td8SiZDDW","2025-03-03 20:28:46"
10,1896428175003132183,2318372370,infaqproduktif,"di bawa santai aja kalo gak kuat ambil air wudhu sholat berdoa backingan kita bisa segalanya #qoute #motivasi #konten #semangat https://t.co/9yzSQbzSBH","2025-03-03 20:28:46"
11,1896418713282474088,1548278803239436288,gashokijp,"LINK DI MAIN Di Profil Aku ya Sayang #fypシ #viralvideo #motivasi #rejeki #indonesian #semangatbaru2025 https://t.co/kGswQddO15","2025-03-03 20:28:46"
12,1896415246040060091,1871222349934313473,TrisnoKT3,"Bertanggung Jawab Lah Atas Jalan Yang Kau Pilih #TrisnoKT #story #motivasi https://t.co/euKFRMoeOW","2025-03-03 20:28:46"
13,1896611050881204614,1741330816255553536,DennDarull,"Apapun kondisinya jangan sampai orang rumah tahu #motivasi #story https://t.co/qxqYHieUuL","2025-03-03 20:29:42"
14,1896547072595378447,1710039859614932992,mg2bet_mg2,"Kalo cuma ganteng doang - Maia Estianty #motivasi #motivasisukses #motivasihidup #motivasell #maiaestianty #viral #fypdongggggggg #id #dennysumargo #densu #manggadua #mangga2 #kutipan #katakata #foryoupage #fyppppppppppppppppppppppp https://t.co/PL9LTtw5vW","2025-03-03 20:29:42"
15,1896545343606858090,1710039859614932992,mg2bet_mg2,"Setiap pernikahan ada rejekinya #motivasi #motivasihidup #motivasisukses #motivasell #dennysumargo #kemalpahlevi #densu #dennysumargo #manggadua #mangga2 #kutipan #katakata https://t.co/sCDFqc4NhP","2025-03-03 20:29:42"
16,1896515910627963044,127796691,warungsatekamu,"Tuhan Yesus berilah kesempatan kepadaku untuk menunjukkan kasih kepada orang-orang yang Engkau hadirkan sebagai sesamaku. Kontribusi oleh Vika Rahelia. #WarungSaTeKaMu #dailyquote #christianart #handlettering #rohanikristen #saatteduh #santapanrohani #renungankristen #motivasi https://t.co/9RnuaLUXhb","2025-03-03 20:29:42"
17,1896510158634910185,1587643235614486528,BPS_Situbondo,"menyalahkan keadaan sibuk mencari penyelesaian. Hidup tidak menjadi lebih baik karena kebetulan melainkan karena adanya perubahan. #zonaintegritas #afirmasi #inspirasi #motivasi #asap #BPSSitubondo","2025-03-03 20:29:42"
18,1896504254556479666,2991081272,mr_z4m,"Konsistensi itu kunci kejayaan! Dalam bulan Ramadhan ini tunjukkan komitmen kita setiap hari. Setiap langkah kecil mendekatkan kita kepada kebaikan Dan Kejayaan dalam perniagaan. Jom buktikan! #Ramadhan #Motivasi #peszamzum #zamzumglobal #sambalpenyetnanaszamzum https://t.co/SLsojZ1a7z","2025-03-03 20:29:42"
19,1896490310458609894,943421476480225280,DadungAwuk82,"BELAS KASIHMU ADALAH RACUN YANG PERLAHAN MEMBUNUHMU #katabijak #afirmasi #motivasi #cinta #kasihsayang #hidup #hidupbebasdrama #videoviral #quotes #katakata #fy https://t.co/ija74P3NMg","2025-03-03 20:29:42"
20,1896484660810756252,1879756228387368960,pengusahasp,"Tugas Manusia Hanya Sebatas berjuang #indonesiabertani #pengusahasetengahpelawak #pupukmahkota #petani #tani #dolomit #motivasi #sawit #sawitriau https://t.co/07KYoh1wIM","2025-03-03 20:29:42"
21,1896450815570973150,1762667610439876608,bpstasik,"Sampurasun Sobat Data. Sudah senin kembali ya bedanya senin kali ini kita sudah di bulan Ramadan ya.. Semangat ya puasanya untuk semua Sobat Data.. Semoga lancar dan sehat selalu.. #cintadata #bpsjabar #tasikmalaya #motivasi #quotes https://t.co/1Td8SiZDDW","2025-03-03 20:29:42"
22,1896428175003132183,2318372370,infaqproduktif,"di bawa santai aja kalo gak kuat ambil air wudhu sholat berdoa backingan kita bisa segalanya #qoute #motivasi #konten #semangat https://t.co/9yzSQbzSBH","2025-03-03 20:29:42"
23,1896418713282474088,1548278803239436288,gashokijp,"LINK DI MAIN Di Profil Aku ya Sayang #fypシ #viralvideo #motivasi #rejeki #indonesian #semangatbaru2025 https://t.co/kGswQddO15","2025-03-03 20:29:42"
24,1896415246040060091,1871222349934313473,TrisnoKT3,"Bertanggung Jawab Lah Atas Jalan Yang Kau Pilih #TrisnoKT #story #motivasi https://t.co/euKFRMoeOW","2025-03-03 20:29:42"
25,1896611050881204614,1741330816255553536,DennDarull,"Apapun kondisinya jangan sampai orang rumah tahu #motivasi #story https://t.co/qxqYHieUuL","2025-03-03 20:31:01"
26,1896547072595378447,1710039859614932992,mg2bet_mg2,"Kalo cuma ganteng doang - Maia Estianty #motivasi #motivasisukses #motivasihidup #motivasell #maiaestianty #viral #fypdongggggggg #id #dennysumargo #densu #manggadua #mangga2 #kutipan #katakata #foryoupage #fyppppppppppppppppppppppp https://t.co/PL9LTtw5vW","2025-03-03 20:31:01"
27,1896545343606858090,1710039859614932992,mg2bet_mg2,"Setiap pernikahan ada rejekinya #motivasi #motivasihidup #motivasisukses #motivasell #dennysumargo #kemalpahlevi #densu #dennysumargo #manggadua #mangga2 #kutipan #katakata https://t.co/sCDFqc4NhP","2025-03-03 20:31:01"
28,1896515910627963044,127796691,warungsatekamu,"Tuhan Yesus berilah kesempatan kepadaku untuk menunjukkan kasih kepada orang-orang yang Engkau hadirkan sebagai sesamaku. Kontribusi oleh Vika Rahelia. #WarungSaTeKaMu #dailyquote #christianart #handlettering #rohanikristen #saatteduh #santapanrohani #renungankristen #motivasi https://t.co/9RnuaLUXhb","2025-03-03 20:31:01"
29,1896510158634910185,1587643235614486528,BPS_Situbondo,"menyalahkan keadaan sibuk mencari penyelesaian. Hidup tidak menjadi lebih baik karena kebetulan melainkan karena adanya perubahan. #zonaintegritas #afirmasi #inspirasi #motivasi #asap #BPSSitubondo","2025-03-03 20:31:01"
30,1896504254556479666,2991081272,mr_z4m,"Konsistensi itu kunci kejayaan! Dalam bulan Ramadhan ini tunjukkan komitmen kita setiap hari. Setiap langkah kecil mendekatkan kita kepada kebaikan Dan Kejayaan dalam perniagaan. Jom buktikan! #Ramadhan #Motivasi #peszamzum #zamzumglobal #sambalpenyetnanaszamzum https://t.co/SLsojZ1a7z","2025-03-03 20:31:01"
31,1896490310458609894,943421476480225280,DadungAwuk82,"BELAS KASIHMU ADALAH RACUN YANG PERLAHAN MEMBUNUHMU #katabijak #afirmasi #motivasi #cinta #kasihsayang #hidup #hidupbebasdrama #videoviral #quotes #katakata #fy https://t.co/ija74P3NMg","2025-03-03 20:31:01"
32,1896484660810756252,1879756228387368960,pengusahasp,"Tugas Manusia Hanya Sebatas berjuang #indonesiabertani #pengusahasetengahpelawak #pupukmahkota #petani #tani #dolomit #motivasi #sawit #sawitriau https://t.co/07KYoh1wIM","2025-03-03 20:31:01"
33,1896450815570973150,1762667610439876608,bpstasik,"Sampurasun Sobat Data. Sudah senin kembali ya bedanya senin kali ini kita sudah di bulan Ramadan ya.. Semangat ya puasanya untuk semua Sobat Data.. Semoga lancar dan sehat selalu.. #cintadata #bpsjabar #tasikmalaya #motivasi #quotes https://t.co/1Td8SiZDDW","2025-03-03 20:31:01"
34,1896428175003132183,2318372370,infaqproduktif,"di bawa santai aja kalo gak kuat ambil air wudhu sholat berdoa backingan kita bisa segalanya #qoute #motivasi #konten #semangat https://t.co/9yzSQbzSBH","2025-03-03 20:31:01"
35,1896418713282474088,1548278803239436288,gashokijp,"LINK DI MAIN Di Profil Aku ya Sayang #fypシ #viralvideo #motivasi #rejeki #indonesian #semangatbaru2025 https://t.co/kGswQddO15","2025-03-03 20:31:01"
36,1896415246040060091,1871222349934313473,TrisnoKT3,"Bertanggung Jawab Lah Atas Jalan Yang Kau Pilih #TrisnoKT #story #motivasi https://t.co/euKFRMoeOW","2025-03-03 20:31:01"
37,1899775063630676033,1856931953574055936,bRo38543,"EKSEKUSI YANG KONSISTEN #motivasihariinijanganmengeluh #motivationalquotes #motivation #inspiration #katamutiara #motivasidirisendiri #quotes #katabijak #edukasi #motivasihidup #viralvideos #motivasi #semuaorang #education #inspirasi #trending #katakatabijak #Motivasidiri https://t.co/UXiKbJFs3w","2025-03-12 15:59:47"
38,1899773697676005470,943421476480225280,DadungAwuk82,"ADAKALANYA KITA HARUS MENJADI YANG BERBEDA #katakatabijak #afirmasi #motivasi #pemberontak #pembangkang #katakata #quotes #fyp #videoviral #fy #hidupbebasdrama #hidup https://t.co/7yysezpqRQ","2025-03-12 15:59:47"
39,1899718667287543892,451283662,wardatuljannah3,"#motivasi Jangan Pernah Menyerah Apapun yang Terjadi Perubahan yang tidak disangka dan luar biasa bisa saja terjadi pada detik - detik terakhir Jangan Menyerah dengan keadaan Berjuanglah dan carilah jalan agar Anda bisa keluar dari keadaan yang buruk. https://t.co/N1xtHB8Xf4","2025-03-12 15:59:47"
40,1899713072320934060,1548278803239436288,gashokijp,"LINK DI MAIN Di Profil Aku ya Sayang #fypシ #viralvideo #motivasi #rejeki #lebaran #idulfitri https://t.co/jKqmcWVUT5","2025-03-12 15:59:47"
41,1899693686818034029,1856931953574055936,bRo38543,"Inovasi Dan Imajinasi #motivasihariinijanganmengeluh #motivationalquotes #motivation #inspiration #katamutiara #motivasidirisendiri #quotes #katabijak #edukasi #motivasihidup #viralvideos #motivasi #semuaorang #education #inspirasi #trending #katakatabijak #Motivasidiri https://t.co/MMVQ3aOxtJ","2025-03-12 15:59:47"
42,1899674176400859200,1871222349934313473,TrisnoKT3,"Hidup ini bukan perlombaan #TrisnoKT #story #motivasi https://t.co/hsuzOOpO2m","2025-03-12 15:59:47"
43,1899671411398189099,1871222349934313473,TrisnoKT3,"Tugas manusia hanya berjuang #TrisnoKT #story #motivasi https://t.co/HWeNTlV4eB","2025-03-12 15:59:47"
44,1899656561326195195,1231277641862221824,MoneyDuckID,"Ada yang ngalamin putus karena uang? #moneyduck #putus #putuspacaran #meme #motivasi #katamotivasi #uang https://t.co/rZYPHDOVLj","2025-03-12 15:59:47"
45,1899653147540545997,3493431319,berkatabijak16,"Kirim Paket Negeri Konoha || CERITA NEGERI KONOHA #fageforyou #katakata #masukberandafyp #beranda #katakatamotivasi #katakatamutiara #katabijak #fyp #dewasa #motivasi #lucu #quotesmotivasi #quotes #katakatamotivasi #katakata #History #quotesstory #simba69 #zeudiners #LYKN https://t.co/yhaPM9zOOd","2025-03-12 15:59:47"
46,1899775063630676033,1856931953574055936,bRo38543,"EKSEKUSI YANG KONSISTEN #motivasihariinijanganmengeluh #motivationalquotes #motivation #inspiration #katamutiara #motivasidirisendiri #quotes #katabijak #edukasi #motivasihidup #viralvideos #motivasi #semuaorang #education #inspirasi #trending #katakatabijak #Motivasidiri https://t.co/UXiKbJFs3w","2025-03-12 16:00:14"
47,1899773697676005470,943421476480225280,DadungAwuk82,"ADAKALANYA KITA HARUS MENJADI YANG BERBEDA #katakatabijak #afirmasi #motivasi #pemberontak #pembangkang #katakata #quotes #fyp #videoviral #fy #hidupbebasdrama #hidup https://t.co/7yysezpqRQ","2025-03-12 16:00:14"
48,1899718667287543892,451283662,wardatuljannah3,"#motivasi Jangan Pernah Menyerah Apapun yang Terjadi Perubahan yang tidak disangka dan luar biasa bisa saja terjadi pada detik - detik terakhir Jangan Menyerah dengan keadaan Berjuanglah dan carilah jalan agar Anda bisa keluar dari keadaan yang buruk. https://t.co/N1xtHB8Xf4","2025-03-12 16:00:14"
49,1899713072320934060,1548278803239436288,gashokijp,"LINK DI MAIN Di Profil Aku ya Sayang #fypシ #viralvideo #motivasi #rejeki #lebaran #idulfitri https://t.co/jKqmcWVUT5","2025-03-12 16:00:14"
50,1899693686818034029,1856931953574055936,bRo38543,"Inovasi Dan Imajinasi #motivasihariinijanganmengeluh #motivationalquotes #motivation #inspiration #katamutiara #motivasidirisendiri #quotes #katabijak #edukasi #motivasihidup #viralvideos #motivasi #semuaorang #education #inspirasi #trending #katakatabijak #Motivasidiri https://t.co/MMVQ3aOxtJ","2025-03-12 16:00:14"
51,1899674176400859200,1871222349934313473,TrisnoKT3,"Hidup ini bukan perlombaan #TrisnoKT #story #motivasi https://t.co/hsuzOOpO2m","2025-03-12 16:00:14"
52,1899671411398189099,1871222349934313473,TrisnoKT3,"Tugas manusia hanya berjuang #TrisnoKT #story #motivasi https://t.co/HWeNTlV4eB","2025-03-12 16:00:14"
53,1899656561326195195,1231277641862221824,MoneyDuckID,"Ada yang ngalamin putus karena uang? #moneyduck #putus #putuspacaran #meme #motivasi #katamotivasi #uang https://t.co/rZYPHDOVLj","2025-03-12 16:00:14"
54,1899653147540545997,3493431319,berkatabijak16,"Kirim Paket Negeri Konoha || CERITA NEGERI KONOHA #fageforyou #katakata #masukberandafyp #beranda #katakatamotivasi #katakatamutiara #katabijak #fyp #dewasa #motivasi #lucu #quotesmotivasi #quotes #katakatamotivasi #katakata #History #quotesstory #simba69 #zeudiners #LYKN https://t.co/yhaPM9zOOd","2025-03-12 16:00:14"
55,1899775063630676033,1856931953574055936,bRo38543,"EKSEKUSI YANG KONSISTEN #motivasihariinijanganmengeluh #motivationalquotes #motivation #inspiration #katamutiara #motivasidirisendiri #quotes #katabijak #edukasi #motivasihidup #viralvideos #motivasi #semuaorang #education #inspirasi #trending #katakatabijak #Motivasidiri https://t.co/UXiKbJFs3w","2025-03-12 16:00:54"
